,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
67,House for Sale,"Imadol, Lalitpur",Rs. 2.55Cr,,2286 Sq. Ft.,5,4,2.5,1 Car & 2 Bikes,16 Feet 
68,House for Sale,"Panipokhari, Kathmandu",Price on call,,2598 Sq. Ft.,4,4,3,1 Car & 2 Bikes,16 Feet 
69,House for Sale,"Bhangal , Kathmandu",Rs. 3.5Cr,,2500 Sq. Ft.,,2,2.5,2 Cars & 2 Bikes,20 Feet 
70,House for Sale,"Rudreshwor, Kathmandu",Rs. 18.5Cr,,2500 Sq. Ft.,7,2,2.5,2 Cars & 4 Bikes,20 Feet 
71,House for Sale,"Bhangal , Kathmandu",Rs. 4.5Cr,,3500 Sq. Ft.,7,4,3.5,1 Car & 2 Bikes,20 Feet 
72,House for Sale,"Imadol, Lalitpur",Rs. 4Cr,,,4,3,2.5,1 Car & 4 Bikes,30 Feet 
73,House for Sale,"Imadol, Lalitpur",Rs. 4.1Cr,,1412.022 Sq. Ft.,6,6,,1 Car & 2 Bikes,
74,House for Sale,"Tikathali, Lalitpur",Rs. 4.45Cr,,1369.181 Sq. Ft.,7,6,2.5,1 Car & 2 Bikes,13 Feet 
75,House for Sale,"Chunikhel, Kathmandu",Rs. 1.95Cr,,1198.033 Sq. Ft.,2,1,1,1 Car & 2 Bikes,14 Feet 
76,House for Sale,"Shital Height, Lalitpur",Rs. 3.15Cr,,1091 Sq. Ft.,5,5,,1 Car & 2 Bikes,13 Feet 
77,House for Sale,"Imadol, Lalitpur",Rs. 2.65Cr,,,5,4,3,1 Car & 4 Bikes,13 Feet 
78,House for Sale,"Imadol, Lalitpur",Rs. 2.55Cr,,1026.886 Sq. Ft.,5,4,3,1 Car & 2 Bikes,13 Feet 
79,House for Sale,"Tikathali, Lalitpur",Rs. 1.7Cr,,1198.033 Sq. Ft.,2,1,1,1 Car & 2 Bikes,13 Feet 
80,House for Sale,"Grande Hospital, Kathmandu",Rs. 2.85Cr,,1200 Sq. Ft.,5,4,2.5,2 Cars ,13 Feet 
81,4 BHK House for Sale,"Samakhusi, Kathmandu",Rs. 3.9Cr,,1000 Sq. Ft.,4,4,2.5,1 Car & 2 Bikes,13 Feet 
82,House for Sale,"Godawari, Lalitpur",Rs. 2.95Cr,,1369.181 Sq. Ft.,7,3,2.5,2 Cars & 3 Bikes,13 Feet 
83,House for Sale,"Imadol, Lalitpur",Rs. 2.35Cr,,,4,4,2.5,1 Car & 2 Bikes,
84,House for Sale,"Imadol, Lalitpur",Rs. 2.2Cr,,855.738 Sq. Ft.,4,4,2.5,1 Car ,13 Feet 
85,House for Sale,"Hattigaunda, Kathmandu",Rs. 2.1Cr,,,5,3,2.5,1 Car & 4 Bikes,13 Feet 
86,House for Sale,"Buddhanagar, Kathmandu",Rs. 4.75Cr,,2979 Sq. Ft.,6,4,3.5,1 Car & 3 Bikes,16 Feet 
87,House for Sale,"Shital Height, Lalitpur",Rs. 3.35Cr,,2800 Sq. Ft.,,4,3,1 Car & 4 Bikes,13 Feet 
88,House for Sale,"Baniyatar, Kathmandu",Rs. 2.75Cr,,3500 Sq. Ft.,7,4,3.5,2 Cars & 4 Bikes,50 Feet 
89,House for Sale,"Gothatar, Kathmandu",Rs. 2.7Cr,,3500 Sq. Ft.,7,4,3.5,1 Car & 2 Bikes,20 Feet 
90,House for Sale,"Bhaisepati, Lalitpur",Rs. 3.95Cr,,2000 Sq. Ft.,5,2,2,2 Cars & 4 Bikes,13 Feet 
91,4 BHK House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.25Cr,,1200 Sq. Ft.,4,4,2.5,1 Car & 2 Bikes,13 Feet 
92,House for Sale,"Bansbari, Kathmandu",Rs. 13.5Cr,,4000 Sq. Ft.,10,5,4,5 Cars & 5 Bikes,50 Feet 
93,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 3.8Cr,,2100 Sq. Ft.,4,4,2.5,1 Car & 3 Bikes,15 Feet 
94,House for Sale,"Ochu Height, Lalitpur",Rs. 3.15Cr,,2799 Sq. Ft.,5,4,3.5,1 Car & 4 Bikes,12 Feet 
95,House for Sale,"Imadol, Lalitpur",Rs. 2.9Cr,,,7,3,2.5,1 Car & 4 Bikes,20 Feet 
96,House for Sale,"Gatthaghar, Bhaktapur",Rs. 1.15Cr,,200 Sq. Ft.,5,2,2,4 Bikes,4 Feet 
97,House for Sale,"Imadol, Lalitpur",Rs. 2.65Cr,,1069.726 Sq. Ft.,5,5,3,1 Car & 5 Bikes,16 Feet 
98,House for Sale,"Tikathali, Lalitpur",Rs. 1.45Cr,,,2,1,,1 Car & 2 Bikes,
99,House for Sale,"Imadol, Lalitpur",Rs. 3.5Cr,,,5,4,2.5,1 Car & 2 Bikes,13 Feet 
100,House for Sale,"Imadol, Lalitpur",Rs. 3.55Cr,,,5,6,3,1 Car & 2 Bikes,
101,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 4.6Cr,,,7,5,2.5,1 Car & 1 Bike,
102,House for Sale,"Tikathali, Lalitpur",Rs. 3.35Cr,,1389 Sq. Ft.,5,4,3,1 Car & 4 Bikes,11 Feet 
103,House for Sale,"Tikathali, Lalitpur",Rs. 2.25Cr,,1219.454 Sq. Ft.,6,3,,1 Car & 3 Bikes,13 Feet 
104,Duplex House for Sale,"Ganesh Chowk, Kathmandu",Rs. 4.3Cr,,1711.476 Sq. Ft.,5,6,2.5,1 Car & 4 Bikes,13 Feet 
105,House for Sale,"Chyasundole, Kathmandu",Rs. 15.5Cr,,5819 Sq. Ft.,4,5,2.5,5 Cars & 5 Bikes,18 Feet 
106,House On Sale,"Tikathali, Lalitpur",Rs. 1.6Cr,,2080 Sq. Ft.,2,1,1,1 Car & 3 Bikes,13 Feet 
107,House for Sale,"Imadol, Lalitpur",Rs. 2.8Cr,,3000 Sq. Ft.,6,4,3.5,1 Car & 2 Bikes,13 Feet 
108,House for Sale,"Kadaghari, Kathmandu",Rs. 2.95Cr,,2800 Sq. Ft.,6,5,3.5,1 Car & 4 Bikes,13 Feet 
109,House for Sale,"Tikathali, Lalitpur",Rs. 1.65Cr,,,2,1,1,1 Car & 3 Bikes,13 Feet 
110,House for Sale,"Imadol, Lalitpur",Price on call,,,7,5,3,1 Car & 5 Bikes,10 Feet 
111,House for Sale,"Imadol, Lalitpur",Rs. 2.9Cr,,,4,4,3,1 Car & 4 Bikes,13 Feet 
112,House for Sale,"Shital Height, Lalitpur",Rs. 4.5Cr,,2790 Sq. Ft.,7,7,3.5,1 Car & 3 Bikes,13 Feet 
113,House on Sale,"Tikathali, Lalitpur",Rs. 2.5Cr,,,3,4,2.5,1 Car & 2 Bikes,13 Feet 
